KAZAŚ	(.|#|)kazas+(.|#|)
ROD	(.|#|)rOt(.|#|)
WÓTŹARŽOWAŚ	(.|#|)v@dZarz+oUas+(.|#|)
PÓDNURJAŚ	(.|#|)p@dnur_jas+(.|#|)
SE	(.|#|)sE(.|#|)
CYBAŚ	(.|#|)ts@bas+(.|#|)
GRIMNUŚ	(.|#|)ɡr_jimnus+(.|#|)
ZROZBIJAŚ	(.|#|)zrOzbi_jas+(.|#|)
DOMACNY	(.|#|)dOmatsn@(.|#|)
NJEMUDRY	(.|#|)nJEmudr@(.|#|)
MJERWJEŃCA	(.|#|)mErweJtsa(.|#|)
CHÓJŹIŚ	(.|#|)xEIz+is+(.|#|)
DOMORODNY	(.|#|)dOmOrOdn@(.|#|)
MIMOMĚRY	(.|#|)mimOmIr@(.|#|)
GÓSĆEŃC	(.|#|)ɡ@stSEnts(.|#|)
RAŹIŚ	(.|#|)raz+is+(.|#|)
KLAPAŚ	(.|#|)klapas+(.|#|)
ROWNAŚ	(.|#|)roUnas+(.|#|)
CYNIŚ	(.|#|)ts@Jis+(.|#|)
RĚD	(.|#|)r_jIt(.|#|)
MINUŚ	(.|#|)minus+(.|#|)
TERGAŚ	(.|#|)tErɡas+(.|#|)
DOPÓRANY	(.|#|)dOpEran@(.|#|)
PRĚDK	(.|#|)pr_jItk(.|#|)
błudny	(.|#|)budn@(.|#|)
raz	(.|#|)ras(.|#|)
gósćeńc	(.|#|)gEstSeJts(.|#|)
starcyś	(.|#|)starts@s+(.|#|)
rědki	(.|#|)r_jItk_ji(.|#|)
rědny	(.|#|)r_jIdn@(.|#|)
rola	(.|#|)rOla(.|#|)
rěznuś	(.|#|)r_jIznus+(.|#|)
městno	(.|#|)mIstnO(.|#|)
gropny	(.|#|)ɡrOpn@(.|#|)
kašćik	(.|#|)kas+tSik(.|#|)
kózoł	(.|#|)k@zoU(.|#|)
grakanje	(.|#|)ɡrakaJE(.|#|)
brach	(.|#|)brax(.|#|)
pódnurjaś	(.|#|)pEdnur_jas+(.|#|)
blaba	(.|#|)blaba(.|#|)
graś	(.|#|)ɡras+(.|#|)
